Gene	Default	MM_Amb	Amb	MM
ESPRESSO_chr1_0_12-chr1:14699-15844_F:2_P:8_M	0.0	2.3019317550457434	0.0	3.523425079407183
ESPRESSO_chr9_29473_6-chr9:14810-15957_F:2_P:6_M	0.0	2.097677507766867	0.0	0.0
ESPRESSO_chr12_6271_7-chr12:14814-15229_F:1_P:3_M	0.0	1.9958066103485368	0.0	3.0000361745622333
ESPRESSO_chr12_6271_7-chr12:15596-15961_F:1_P:0_M	0.0	0.7029582323256435	0.0	1.3986457428548047
ESPRESSO_chr1_0_13-chr1:15895-16876_F:0_P:6	0.0	1.360144822038481	0.0	2.5053075595074215
ESPRESSO_chr9_29473_6-chr9:16859-17421_F:1_P:0_M	0.0	2.306531922101911	0.0	0.0
ESPRESSO_chr12_6271_20-chr12:17443-17472_F:2_P:2_M	0.0	0.8797759047373594	0.0	1.930081852210756
ENST00000481810.1-chr16:47433-47519_F:0_P:12_M	0.0	2.959546876101509	3.286110422334455	0.0
ENST00000293860.6-chr16:47433-53586_F:0_P:0_M	0.0	3.4179787801011714	3.752342452943389	0.0
ENST00000293861.8+chr16:53990-57140_F:2_P:0_M	0.0	2.906242343314233	3.204495554616208	0.0
ENST00000466183.1+chr16:55510-57140_F:1_P:6_M	0.0	2.149597618511143	2.49578531614771	0.0
ESPRESSO_chr16_10688_10+chr16:78310-85572_F:1_P:0_M	0.0	2.9668408922596123	3.3337640626551344	0.0
ESPRESSO_chr16_10688_10+chr16:85457-85774_F:2_P:2_M	0.0	2.0786836106223205	2.398354485329977	0.0
ENST00000610261.6+chr4:86487-86903_F:0_P:18_M	0.0	0.8420844698842573	0.0	0.0
ESPRESSO_chr16_10688_18-chr16:86708-119209_F:1_P:6_M	0.0	2.0599997261112764	2.232176885422012	0.0
ENST00000621703.4-chr16:86708-112631_F:1_P:5_M	0.0	2.108572222296124	2.239711995717508	0.0
ENST00000610509.1-chr16:86708-88903_F:1_P:20_M	0.0	1.7251670764598943	2.031671448737096	0.0
ENST00000621703.4-chr16:112757-138267_F:0_P:1_M	0.0	2.498088818143468	2.7244093880671194	0.0
ENST00000382500.4-chr9:117153-117551_F:2_P:5_M	0.0	1.0321799194881716	0.871332881610438	0.0
ENST00000464198.5-chr9:121470-123397_F:1_P:10_M	0.0	0.7691555141482836	0.0	0.0
ESPRESSO_chr12_6273_21+chr12:141230-157639_F:0_P:0_M	0.0	1.7721788922000918	1.3239661304115817	0.0
ENST00000252951.3+chr16:152910-154397_F:0_P:8_M	0.0	2.6897691810996704	0.0	0.0
ESPRESSO_chr1_9_3-chr1:167963-169124_F:0_P:6_M	0.0	1.4677691849433474	0.0	2.6744755765429953
ENST00000251595.11+chr16:172913-173597_F:2_P:0_M	0.0	5.867554446056423	0.23351215738875666	0.0
ESPRESSO_chr16_10691_7+chr16:172913-173597_F:2_P:0_M	0.0	6.227383107451337	0.5257142578793693	0.0
ESPRESSO_chr16_10691_19+chr16:172913-173597_F:2_P:0_M	0.0	5.8628398559744035	0.26144077341133987	0.0
ESPRESSO_chr16_10691_18+chr16:172913-173686_F:2_P:0_M	1.3109093440839434	5.700752731692634	0.8409344173630453	1.0740332221183482
ESPRESSO_chr16_10691_2+chr16:172913-173597_F:2_P:0_M	0.0	6.6729177600855145	1.2248606914090192	0.0
ESPRESSO_chr16_10691_8+chr16:172913-173597_F:2_P:0_M	0.0	6.32882607264807	0.8699306466434973	0.0
ESPRESSO_chr16_10691_17+chr16:172986-173597_F:0_P:0_M	0.0	5.918451479656955	0.28339660012214546	0.0
ENST00000484216.1+chr16:173126-173461_F:2_P:0_M	0.0	5.319781557836336	0.0	0.0
ENST00000382393.2-chr9:173269-178969_F:1_P:2_M	0.0	3.5589199183396487	0.0	0.0
ESPRESSO_chr16_10692_16+chr16:176717-177498_F:2_P:0_M	2.2433943396240346	5.730877826558234	1.3130909170571918	1.8222879331208166
ESPRESSO_chr16_10692_14+chr16:176717-177408_F:2_P:0_M	0.0	5.90168824532914	0.0	0.0
ENST00000487791.1+chr16:176930-177262_F:2_P:0_M	0.0	5.328774976183414	0.0	0.0
ENST00000397797.1+chr16:176930-177408_F:1_P:0_M	0.0	5.857515493868194	0.0	0.0
ENST00000314367.14-chr9:177801-178969_F:1_P:2_M	0.0	3.6258325173293366	0.0	0.0
ESPRESSO_chr10_3111_8+chr10:180013-236900_F:2_P:2_M	0.0	3.113551700575364	3.5449931824834207	0.0
ENST00000199708.3+chr16:180487-181105_F:1_P:0_M	0.0	1.73234697392594	1.4491620212156302	0.0
ESPRESSO_chr1_11_4-chr1:187270-187832_F:1_P:6_M	0.0	1.9526534329495495	0.0	2.758721133301352
ESPRESSO_chr1_11_5-chr1:187801-188538_F:1_P:1_M	0.0	2.6305312350457024	0.0	0.33185710207305796
ESPRESSO_chr1_11_4-chr1:188040-188538_F:1_P:1_M	0.0	2.5455003883549527	0.0	0.28834711272000635
ESPRESSO_chr16_10696_11-chr16:189201-229339_F:1_P:1_M	0.0	2.839139055258254	3.2313047702443205	0.0
ENST00000684302.1-chr12:191189-193328_F:0_P:14_M	0.0	0.9212003537347793	0.7980922467375084	0.0
ESPRESSO_chr12_6274_19-chr12:191845-193328_F:0_P:14_M	0.0	0.6211627472508464	0.39832450540648795	0.0
ENST00000313766.6+chr7:192856-193146_F:1_P:0_M	1.8840799711137979	1.8424835501591426	1.0179615988834683	2.5293458472143775
ESPRESSO_chr11_4426_13-chr11:201175-207321_F:0_P:1_M	0.0	2.2824481518279605	2.3874005759184675	0.0
ESPRESSO_chr11_4426_17-chr11:201724-207321_F:0_P:1_M	0.0	2.4183297084660493	2.521251869565207	0.0
ENST00000684302.1-chr12:202781-209873_F:0_P:6_M	0.0	0.42042018862700464	0.16208769503923295	0.0
ENST00000382762.8-chr11:205305-207321_F:0_P:1_M	0.0	2.2457874158819657	2.3443662986304425	0.0
ENST00000441693.2-chr5:205873-216849_F:0_P:4_M	0.0	2.6091441490479204	1.4833246994483036	0.0
ENST00000293872.13-chr16:206129-220650_F:0_P:2_M	0.0	2.0828055023399776	2.4695386447091145	0.0
ESPRESSO_chr11_4427_20+chr11:209605-214347_F:1_P:2_M	0.0	2.2208451397161397	2.6238913862180344	0.0
ENST00000261601.8+chr18:210008-210430_F:0_P:24_M	0.0	2.7302428303618127	3.1881331620408044	0.0
ENST00000530149.1+chr11:211287-211532_F:0_P:6_M	0.0	1.1164084527706801	0.5476759249615939	1.1338783093950313
ENST00000530149.1+chr11:212663-213025_F:2_P:28_M	0.0	1.857945501080052	2.1656995246249693	0.0
ENST00000526104.6+chr11:212864-213300_F:2_P:29_M	0.0	1.524914386722154	1.8841127424249497	0.0
ENST00000578529.5-chr18:214629-259691_F:1_P:14_M	0.0	0.6539857313068109	0.7411192764324683	0.0
ESPRESSO_chr11_4427_14-chr11:216701-233389_F:2_P:1_M	0.0	1.7972925055478213	2.0943373164382826	0.0
ENST00000343164.9-chr12:220965-221470_F:0_P:18_M	0.0	1.8054955262577277	2.0191943227390836	0.0
ENST00000514027.5+chr5:228195-228236_F:0_P:9_M	0.0	3.86168510149582	2.49326591446161	0.0
ESPRESSO_chr2_15515_26-chr2:229984-231165_F:1_P:19_M	0.0	1.0217980532413287	1.284744142361756	0.0
ENST00000511810.5+chr5:235076-235432_F:2_P:11_M	0.0	2.4928386695581564	2.0865186873878208	0.0
ENST00000382671.8+chr11:244432-244675_F:1_P:5_M	0.0	3.557648470470336	3.947646797666003	0.0
ENST00000529679.1+chr11:251546-251650_F:2_P:0_M	0.0	1.8181704708432158	2.229619490961411	0.0
ENST00000527982.1+chr11:251723-252094_F:2_P:22_M	0.0	1.7597094321657885	2.1069547512022995	0.0
ENST00000704335.1+chr10:252372-252467_F:1_P:83_M	0.0	3.1167591198747933	3.5782950729458407	0.0
ENST00000436453.1-chr12:259762-260052_F:1_P:2_M	0.0	2.1126625435444364	2.3724896580638015	0.0
ENST00000453390.5+chr2:264965-272255_F:2_P:0_M	0.0	4.968224725451114	5.363750438652397	0.0
ENST00000407983.7+chr2:264965-272255_F:2_P:0_M	0.0	4.854238697679063	5.197630087051034	0.0
ESPRESSO_chr16_10698_11+chr16:268837-282811_F:1_P:0_M	0.0	3.7988634981173215	4.183459264937215	0.30235142225052936
ENST00000316163.9-chr16:271550-273798_F:0_P:4_M	0.0	0.5290511140613637	0.16756222264513193	0.0
ESPRESSO_chr5_23086_26+chr5:271721-313838_F:2_P:0_M	0.12876907452390865	3.9810519161448696	4.127243437761042	0.10092785471775284
ENST00000505221.5+chr5:271721-304220_F:2_P:0_M	0.0	3.8902344641944633	3.1763489867841286	0.0
ENST00000413140.5+chr2:272134-277301_F:0_P:5	0.0	4.019021393077796	3.3018399042338045	0.0
ENST00000453390.5+chr2:275182-277301_F:1_P:1_M	0.0	3.578874898456392	2.999770024818478	0.0
ENST00000621795.1-chr19:281391-282775_F:1_P:64_M	0.0	1.0966663224194615	1.25279507407213	0.0
ENST00000477621.1+chr16:281697-282345_F:0_P:3_M	0.0	3.973372481298663	4.3434021807197665	0.0
ESPRESSO_chr16_10698_12+chr16:282096-282811_F:1_P:0_M	0.0	4.062223073236652	4.465095017159887	0.0
ENST00000482665.1+chr16:284290-285240_F:1_P:0_M	0.0	0.7912153500520689	0.6456815908213775	0.0
ESPRESSO_chr12_6277_22-chr12:285459-307963_F:1_P:0_M	0.0	1.0014124645210276	1.247399540561792	0.0
ESPRESSO_chr16_10700_4-chr16:288125-297114_F:0_P:0_M	0.0	1.0697481280189676	0.6553104071562834	0.0
ENST00000485332.7-chrX:305077-311517_F:0_P:1_M	0.0	1.0039875995392933	0.0	0.0
ESPRESSO_chrX_30824_6-chrX:305077-315246_F:0_P:0_M	0.0	1.3744935545653425	0.0	0.0
ESPRESSO_chr12_6277_26-chr12:307484-322547_F:0_P:0_M	0.0	0.8919732790517044	1.1569021064359117	0.0
ENST00000616316.3+chr11:308193-309162_F:0_P:4_M	0.0	4.883486099088158	3.0670038385608063	0.0
ENST00000533141.1+chr11:308253-309162_F:0_P:3_M	0.0	5.011341022684084	2.790661077854397	0.0
ENST00000399817.9+chr11:309028-309162_F:1_P:7_M	0.0	4.932462315617842	0.7362607654126888	0.0
ENST00000485332.7-chrX:311746-312180_F:0_P:0_M	0.0	0.41890624485285455	0.0	0.7832555134914827
ENST00000408968.4+chr11:314171-315110_F:2_P:0_M	0.0	4.902003862442292	4.064659282238707	0.0
ENST00000680938.1+chr11:314937-315110_F:1_P:1_M	0.0	5.108420861538034	2.8098609502138396	0.0
ESPRESSO_chr3_19961_38+chr3:319777-365999_F:2_P:3_M	0.0	3.3584250073200033	3.778069297695838	0.0
ESPRESSO_chr11_4435_9+chr11:319826-320846_F:2_P:1_M	0.0	5.4532591326427315	4.096589909583126	0.0
ESPRESSO_chr11_4435_10+chr11:319826-320846_F:2_P:1_M	0.0	5.467048180912853	4.080470926273782	0.0
ENST00000531688.2-chr11:319841-319975_F:1_P:6_M	0.0	5.380245093348867	3.240758805134937	0.0
ESPRESSO_chr11_4435_12-chr11:319841-320813_F:2_P:1_M	0.0	5.506939728129284	4.055631592930403	0.0
ENST00000399808.5-chr11:319841-320813_F:2_P:1_M	0.0	5.4918498831515254	4.040744249649287	0.0
ENST00000526811.4-chr11:319841-320750_F:0_P:1_M	0.0	5.613838010306426	3.863995929397839	0.0
ENST00000531688.2-chr11:320204-320813_F:2_P:0_M	0.0	5.455003495321909	4.08266130722796	0.0
ENST00000680932.1-chr11:320409-320813_F:2_P:0_M	0.0	5.137314571732704	3.7688776249821787	0.0
ENST00000342665.5+chr20:326421-326816_F:0_P:4_M	0.0	2.7452534462258806	2.93674189637746	0.0
ENST00000400256.5-chr18:331713-331775_F:1_P:27_M	0.0	2.75168849741761	2.9892811543240736	0.0
ENST00000400256.5-chr18:333027-346330_F:2_P:30_M	0.0	2.0742245482279276	2.2712276185647	0.0
ESPRESSO_chr20_17817_42+chr20:349644-354113_F:2_P:2_M	0.0	4.169835649395324	4.418057803533365	0.0
ESPRESSO_chr16_10701_10-chr16:367678-369124_F:0_P:0_M	0.0	4.0408191454028906	4.431221771701657	0.0
ESPRESSO_chr16_10701_11-chr16:367678-370218_F:0_P:0_M	0.0	4.091102981912973	4.505340192662299	0.0
ENST00000483764.5-chr16:367678-368602_F:0_P:3_M	0.0	4.128133721749354	4.522632621828788	0.0
ESPRESSO_chr11_4437_10+chr11:380216-380876_F:0_P:2_M	0.0	1.35384858426171	0.44296698935085843	1.4104415607711955
ENST00000397722.5+chr16:399109-400339_F:2_P:5_M	0.0	1.7254063730201579	1.9826022358580346	0.0
ENST00000468031.1+chr16:399666-400339_F:0_P:9_M	0.0	1.272042956472331	1.5748567081055733	0.0
ENST00000475269.5+chr20:408758-410559_F:2_P:4_M	0.0	2.376424447004077	1.5832734771509234	0.0
ENST00000588376.5-chr19:418931-422292_F:0_P:3_M	0.0	0.9712358208891125	0.696664736603257	0.0
ENST00000350302.8+chr8:431358-435654_F:2_P:2_M	0.0	1.8579838018722454	0.9100568804287908	0.0
ENST00000264554.11-chr19:436428-438752_F:0_P:3_M	0.0	0.8133697260837695	0.4433285370922677	0.0
ENST00000354200.5-chr20:448027-462500_F:2_P:0_M	0.23265884214307797	2.202623895656485	2.0691318240265155	0.2504910724093577
ENST00000350302.8+chr8:474632-475024_F:2_P:122_M	0.0	0.9555725549541085	0.03370126057806919	0.4651374727746139
ENST00000350302.8+chr8:475047-475112_F:0_P:124_M	0.0	0.6079484571616618	0.0	0.9184374837764674
ENST00000534918.1+chr5:478522-478959_F:1_P:6_M	3.216647309411758	1.740756174584083	2.022189662591923	2.863084496078143
ENST00000412256.1+chr16:482693-497298_F:2_P:0_M	0.0	0.7388679863339013	0.9011934048145129	0.0
ESPRESSO_chr16_10704_18+chr16:491261-519819_F:2_P:0_M	0.0	0.6188991546332115	0.7695651968530278	0.0
ESPRESSO_chr11_4442_6-chr11:494694-498818_F:2_P:0_M	0.0	2.9978991176317407	3.369406261602179	0.0
ESPRESSO_chr11_4442_12-chr11:494694-500677_F:0_P:2_M	0.0	3.194233127556199	3.584311715795305	0.0
ESPRESSO_chr11_4442_7-chr11:499828-502162_F:0_P:0_M	0.0	3.4257038987171686	3.8073060811398243	0.0
ENST00000588278.1+chr19:507507-508034_F:0_P:0_M	0.0	2.563781842838342	2.831538589196743	0.0
ENST00000437048.7-chr17:516562-516666_F:0_P:73_M	0.0	0.6927523739753997	0.0	0.0
ESPRESSO_chr16_10704_19+chr16:520206-520836_F:1_P:0_M	0.0	0.43875332405785394	0.463117723179293	0.0
ENST00000417302.7-chr11:532392-532592_F:1_P:8_M	0.0	1.3062483492090735	0.0	1.6953794685762589
ENST00000417302.7-chr11:532639-533583_F:2_P:7_M	0.0	2.3446528747720916	2.677802992705396	0.0
ENST00000311189.8-chr11:534312-535504_F:1_P:0_M	4.033793379924177	3.084974745656374	3.349136149883309	3.836193862712172
ENST00000606400.3+chr19:537089-541549_F:2_P:0_M	0.0	3.1243755628523253	3.49869849083825	0.0
